2021-02-16
macro.hprecision , macro.hrecall , macro.hf , micro.hprecision , micro.hrecall , micro.hf
0.945771557459468 , 0.959729716509294 , 0.940957976265942 , 0.944150943396226 , 0.944486388062353 , 0.944318635939789
AU.prc , average.auprc , average.auprc.w , each.class.auc
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.957670526532092
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.959327189197158
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.973514832041687
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.94885459246541
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.945460341364301
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.945277205840173
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993510089922563
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994554537968049
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993544427216072
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993436401173143
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994531308170924
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994571690929239
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994878537430252
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994978746077819
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993523600435984
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994518819599083
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993481090175039
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993480177381722
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994546912183757
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993481090175039
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.993801528664251
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.99346923087455
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994589870361108
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.994558645494284
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.951795878781457
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944848015999292
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944848015999292
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.950998062820833
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.949611037293623
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.947572863687208
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944848015999292
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.949902507056212
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944848015999292
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944848015999292
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.949902507056212
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944215616574607
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.93821319806836
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.944848015999292
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.949902507056212
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.913027576582323
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.924280570754756
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.962999773478176
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.927026734410687
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.946084011174092
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.915321961535603
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.934280515988416
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.913759490188014
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.92286408885147
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.977796099001677
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.974361899094826
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.977378752562635
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.971683785175903
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.966234326474421
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.967920208088497
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.947135128588736
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.947421634197823
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.926909434763134
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.964819385828955
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.871793173803514
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.964671159188122
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.965277555771637
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.967920208088497
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.966587278246793
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.967920208088497
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.977730306322663
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.97068395394018
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.870505908628977
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.865573229054736
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.871793173803514
0.979168433220411 , 0.928377633800651 , 0.96184816134498 , 0.871793173803514
