,SVM-DAG,MLP-DAG,LSTM-DAG
dataset1,0.935260115606936,0.850184265342092,0.934101548433562
dataset2,0.919055374592834,0.86135901740744,0.918803418803419
dataset3,0.941000157753589,0.886162577199132,0.945625348300295
dataset4,0.929645721925134,0.885210312075984,0.928370186971741
dataset5,0.957175547564564,0.857767653758542,0.940425884497473
