,dataset1,dataset2,dataset3,dataset4,dataset5
TPR,0.938910926794086,0.920885560800912,0.94213310176048,0.93187327593413,0.958830256494037
TOP-DOWN,0.938060781476121,0.919020408163265,0.942274236912858,0.930322364002686,0.956770918617979
DOWN-TOP,0.939117963427752,0.921541582150101,0.943221138722869,0.931844692551241,0.958727569331158
DAGlabel,0.938430698739977,0.921295546558704,0.942349984291549,0.929533250722842,0.957796969203194
