,w1=w2=w3=w4=1,w1=w4=1 w2=w3=2,w1=w3=2 w2=w4=1,w1=w2=2 w3=w4=1
hm,0.924266253881843,0.924230960455854,0.922812923692472,0.92329595284386
hu,0.929963407369585,0.930863157894737,0.928901977282289,0.928820308611249
