,SVM,MLP,LSTM
dataset1,0.938910926794086,0.862704427602712,0.939783248403072
dataset2,0.920885560800912,0.877820047774927,0.920892827835221
dataset3,0.94213310176048,0.897171381031614,0.950697526949905
dataset4,0.93187327593413,0.89537932905326,0.929706757331067
dataset5,0.958830256494037,0.869050869050869,0.941653562856906
