,w1=w2=w3=w4=1,w1=w4=1 w2=w3=2,w1=w3=2 w2=w4=1,w1=w2=2 w3=w4=1
hm,0.950614460312601,0.951411431829939,0.94816889660409,0.948802966928993
hu,0.95130076142132,0.951626949568522,0.949362073064427,0.950530586766542
