,dataset1,dataset2,dataset3,dataset4,dataset5
TPR,0.933456409961252,0.91536193388621,0.950580901506036,0.924305879929833,0.946340161299421
TOP-DOWN,0.933505355308302,0.916024128798987,0.950450236489875,0.925261367948059,0.945842976083405
DOWN-TOP,0.933526218400898,0.915122552924062,0.95019388987666,0.923942875172313,0.94656207382358
CLUS-HMC,0.921698753607242,0.890736469146663,0.918692956845924,0.930491369286932,0.919777525420337
HMC-DAG-LSTM,0.932409711503494,0.910929050446149,0.951411431829939,0.924230960455854,0.949886395231565
