,dataset1,dataset2,dataset3,dataset4,dataset5
TPR,0.939605026929982,0.921257902947697,0.951225315251011,0.930042553191489,0.941312805231355
TOP-DOWN,0.939587673299332,0.921610517666393,0.950975725844836,0.931310720981762,0.940386369289445
DOWN-TOP,0.939791890922139,0.920830256788908,0.950705341575527,0.929402769518308,0.941925876902713
CLUS-HMC,0.924786692478669,0.895854881056568,0.921662607055866,0.927591653504032,0.920744201294976
HMC-DAG-LSTM,0.93825752174533,0.916469339430065,0.951626949568522,0.930863157894737,0.946233017702758
