,w1=w2=w3=w4=1,w1=w4=1 w2=w3=2,w1=w3=2 w2=w4=1,w1=w2=2 w3=w4=1
hm,0.933456409961252,0.932409711503494,0.931295055316083,0.92704766265226
hu,0.939605026929982,0.93825752174533,0.938871809537428,0.934988428361035
