,SVM,MLP,LSTM,SVM-DAG,MLP-DAG,LSTM-DAG
dataset1,0.938910926794086,0.862704427602712,0.939783248403072,0.935260115606936,0.850184265342092,0.934101548433562
dataset2,0.920885560800912,0.877820047774927,0.920892827835221,0.919055374592834,0.86135901740744,0.918803418803419
dataset3,0.94213310176048,0.897171381031614,0.950697526949905,0.941000157753589,0.886162577199132,0.945625348300295
dataset4,0.93187327593413,0.89537932905326,0.929706757331067,0.929645721925134,0.885210312075984,0.928370186971741
dataset5,0.958830256494037,0.869050869050869,0.941653562856906,0.957175547564564,0.857767653758542,0.940425884497473
