,w1=w2=w3=w4=1,w1=w4=1 w2=w3=2,w1=w3=2 w2=w4=1,w1=w2=2 w3=w4=1
hm,0.915053291910901,0.910929050446149,0.910362886999708,0.908767496442737
hu,0.92080426754206,0.916469339430065,0.914486019401647,0.913542586497552
