,w1=w2=w3=w4=1,w1=w4=1 w2=w3=2,w1=w3=2 w2=w4=1,w1=w2=2 w3=w4=1
hm,0.946386703852908,0.949886395231565,0.948797616657283,0.950483276524661
hu,0.941400430392319,0.946233017702758,0.945903664059284,0.947513364652519
