,SVM,MLP,LSTM,SVM-DAG,MLP-DAG,LSTM-DAG
dataset1,0.935899121803153,0.889961827084775,0.917289857638332,0.932628047852648,0.881939191024912,0.913213512677776
dataset2,0.916218240044573,0.894975011704267,0.905225827941348,0.915153486251668,0.883110661183902,0.903643874348027
dataset3,0.947836885599698,0.917977417646908,0.920556160418482,0.946810414740681,0.907804093264232,0.922870953965564
dataset4,0.924935632223133,0.908571133173609,0.925073067005137,0.924569019972112,0.902364546212975,0.918962709007549
dataset5,0.96003449403908,0.908897758936223,0.936494198741517,0.958818396179665,0.900713406988832,0.935618480628525
