,SVM-DAG,MLP-DAG,LSTM-DAG
dataset1,0.932628047852648,0.881939191024912,0.92816290740603
dataset2,0.915153486251668,0.883110661183902,0.913198467112059
dataset3,0.946810414740681,0.907804093264232,0.9458368917244
dataset4,0.924569019972112,0.902364546212975,0.921842189421579
dataset5,0.958818396179665,0.900713406988832,0.945300652657711
