,dataset1,dataset2,dataset3,dataset4,dataset5
TPR,0.935899121803153,0.916218240044573,0.947836885599698,0.924935632223133,0.96003449403908
TOP-DOWN,0.934882066030878,0.915204350484746,0.947906677145997,0.924409762198947,0.958756270804657
DOWN-TOP,0.935984446480637,0.91645296434854,0.948623706297827,0.924849280094524,0.959800211541298
DAGlabel,0.935239434617737,0.91643320562029,0.948038105578558,0.924981430282435,0.959487944326115
