4,6,5
4,26,5
4,27,5
4,31,5
4,32,5
4,33,5
4,34,5
4,35,5
4,36,5
4,38,5
4,39,5
9,6,5
9,26,5
9,27,5
9,31,5
9,32,5
9,33,5
9,34,5
9,35,5
9,36,5
9,38,5
9,39,5
11,98,162
11,98,163
11,100,162
11,100,163
14,142,185
14,143,185
14,144,185
14,145,185
14,145,186
16,43,41
16,43,80
16,43,81
16,43,82
16,45,41
16,45,80
16,45,81
16,45,82
16,46,41
16,46,80
16,46,81
16,46,82
16,46,134
16,48,41
16,48,80
16,48,81
16,48,82
16,155,190
16,157,190
16,157,191
16,158,190
16,158,191
16,158,192
16,162,163
26,6,5
26,26,5
26,27,5
26,31,5
26,32,5
26,33,5
26,34,5
26,35,5
26,36,5
26,38,5
26,39,5
33,4,204
37,92,120
45,47,41
45,47,43
45,47,45
45,47,46
47,30,6
47,30,25
47,30,26
47,30,27
47,30,28
47,30,29
47,30,31
47,30,32
47,30,33
47,30,34
47,30,35
47,30,36
47,30,38
47,30,39
47,37,6
47,37,26
47,37,27
47,37,31
47,37,33
47,37,34
47,37,36
47,37,38
47,43,80
47,43,81
47,43,82
47,45,80
47,45,81
47,45,82
47,46,80
47,46,81
47,46,82
47,46,134
47,48,80
47,48,81
47,48,82
47,91,125
47,91,126
57,46,43
57,47,43
57,47,45
62,98,95
62,98,96
62,98,97
62,100,95
62,100,96
62,100,97
62,100,99
80,43,41
80,43,80
80,43,81
80,43,82
80,44,41
80,45,41
80,45,80
80,45,81
80,45,82
80,47,41
80,47,46
80,47,80
80,47,81
80,47,82
80,47,134
80,47,141
80,48,41
80,48,80
80,48,81
80,48,82
80,55,41
80,56,41
86,44,41
86,55,41
86,56,41
