第66 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第67 个acc：95.555556	 rec：0.714286	 spe：0.975904	 pre：0.714286	 fm：0.714286;
第68 个acc：94.444444	 rec：0.571429	 spe：0.975904	 pre：0.666667	 fm：0.615385;
第69 个acc：95.555556	 rec：0.714286	 spe：0.975904	 pre：0.714286	 fm：0.714286;
第70 个acc：95.555556	 rec：0.714286	 spe：0.975904	 pre：0.714286	 fm：0.714286;
第71 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第72 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第73 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第74 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第75 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第76 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第77 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第78 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第79 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第80 个acc：95.555556	 rec：0.812500	 spe：0.986486	 pre：0.928571	 fm：0.866667;
第81 个acc：95.555556	 rec：0.812500	 spe：0.986486	 pre：0.928571	 fm：0.866667;
第82 个acc：95.555556	 rec：0.812500	 spe：0.986486	 pre：0.928571	 fm：0.866667;
第83 个acc：96.666667	 rec：0.818182	 spe：0.987342	 pre：0.900000	 fm：0.857143;
第84 个acc：94.444444	 rec：0.750000	 spe：0.974359	 pre：0.818182	 fm：0.782609;
第85 个acc：94.444444	 rec：0.750000	 spe：0.974359	 pre：0.818182	 fm：0.782609;
第86 个acc：96.666667	 rec：0.750000	 spe：0.987805	 pre：0.857143	 fm：0.800000;
第87 个acc：96.666667	 rec：0.750000	 spe：0.987805	 pre：0.857143	 fm：0.800000;
第88 个acc：96.666667	 rec：0.769231	 spe：1.000000	 pre：1.000000	 fm：0.869565;
第89 个acc：96.666667	 rec：0.750000	 spe：0.987805	 pre：0.857143	 fm：0.800000;
第90 个acc：95.555556	 rec：0.800000	 spe：0.975000	 pre：0.800000	 fm：0.800000;
第91 个acc：96.666667	 rec：0.769231	 spe：1.000000	 pre：1.000000	 fm：0.869565;
第92 个acc：100.000000	 rec：1.000000	 spe：1.000000	 pre：1.000000	 fm：1.000000;
第93 个acc：100.000000	 rec：1.000000	 spe：1.000000	 pre：1.000000	 fm：1.000000;
第94 个acc：98.888889	 rec：1.000000	 spe：0.988235	 pre：0.833333	 fm：0.909091;
第95 个acc：100.000000	 rec：1.000000	 spe：1.000000	 pre：1.000000	 fm：1.000000;
第96 个acc：95.555556	 rec：0.866667	 spe：0.973333	 pre：0.866667	 fm：0.866667;
第97 个acc：95.555556	 rec：0.866667	 spe：0.973333	 pre：0.866667	 fm：0.866667;
第98 个acc：94.444444	 rec：0.812500	 spe：0.972973	 pre：0.866667	 fm：0.838710;
第99 个acc：95.555556	 rec：0.866667	 spe：0.973333	 pre：0.866667	 fm：0.866667;
第100 个acc：94.444444	 rec：0.812500	 spe：0.972973	 pre：0.866667	 fm：0.838710;
第101 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第102 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第103 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第104 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第105 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第106 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第107 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第108 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第109 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第110 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第111 个acc：95.555556	 rec：0.823529	 spe：0.986301	 pre：0.933333	 fm：0.875000;
第112 个acc：94.444444	 rec：0.904762	 spe：0.956522	 pre：0.863636	 fm：0.883721;
第113 个acc：94.444444	 rec：0.904762	 spe：0.956522	 pre：0.863636	 fm：0.883721;
第114 个acc：94.444444	 rec：0.904762	 spe：0.956522	 pre：0.863636	 fm：0.883721;
第115 个acc：93.333333	 rec：0.166667	 spe：0.988095	 pre：0.500000	 fm：0.250000;
第116 个acc：97.777778	 rec：0.000000	 spe：1.000000	 pre：NaN	 fm：NaN;
第117 个acc：91.111111	 rec：0.843750	 spe：0.948276	 pre：0.900000	 fm：0.870968;
第118 个acc：91.111111	 rec：0.843750	 spe：0.948276	 pre：0.900000	 fm：0.870968;
第119 个acc：91.111111	 rec：0.843750	 spe：0.948276	 pre：0.900000	 fm：0.870968;
第120 个acc：98.888889	 rec：1.000000	 spe：0.987952	 pre：0.875000	 fm：0.933333;
第121 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第122 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第123 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第124 个acc：95.555556	 rec：0.200000	 spe：1.000000	 pre：1.000000	 fm：0.333333;
第125 个acc：95.555556	 rec：0.200000	 spe：1.000000	 pre：1.000000	 fm：0.333333;
第126 个acc：95.555556	 rec：0.200000	 spe：1.000000	 pre：1.000000	 fm：0.333333;
第127 个acc：95.555556	 rec：0.200000	 spe：1.000000	 pre：1.000000	 fm：0.333333;
第128 个acc：97.777778	 rec：0.857143	 spe：1.000000	 pre：1.000000	 fm：0.923077;
第129 个acc：97.777778	 rec：0.882353	 spe：1.000000	 pre：1.000000	 fm：0.937500;
第130 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第131 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第132 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第133 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第134 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
第135 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
第136 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
