第66 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第67 个acc：97.427653	 rec：0.800000	 spe：0.989510	 pre：0.869565	 fm：0.833333;
第68 个acc：97.427653	 rec：0.800000	 spe：0.989510	 pre：0.869565	 fm：0.833333;
第69 个acc：97.106109	 rec：0.760000	 spe：0.989510	 pre：0.863636	 fm：0.808511;
第70 个acc：97.106109	 rec：0.760000	 spe：0.989510	 pre：0.863636	 fm：0.808511;
第71 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第72 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第73 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第74 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第75 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第76 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第77 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第78 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第79 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第80 个acc：95.498392	 rec：0.821429	 spe：0.984314	 pre：0.920000	 fm：0.867925;
第81 个acc：95.498392	 rec：0.821429	 spe：0.984314	 pre：0.920000	 fm：0.867925;
第82 个acc：95.498392	 rec：0.821429	 spe：0.984314	 pre：0.920000	 fm：0.867925;
第83 个acc：99.356913	 rec：0.942857	 spe：1.000000	 pre：1.000000	 fm：0.970588;
第84 个acc：97.427653	 rec：0.880952	 spe：0.988848	 pre：0.925000	 fm：0.902439;
第85 个acc：97.427653	 rec：0.880952	 spe：0.988848	 pre：0.925000	 fm：0.902439;
第86 个acc：97.427653	 rec：0.838710	 spe：0.989286	 pre：0.896552	 fm：0.866667;
第87 个acc：97.427653	 rec：0.838710	 spe：0.989286	 pre：0.896552	 fm：0.866667;
第88 个acc：96.141479	 rec：0.897959	 spe：0.973282	 pre：0.862745	 fm：0.880000;
第89 个acc：97.427653	 rec：0.838710	 spe：0.989286	 pre：0.896552	 fm：0.866667;
第90 个acc：98.392283	 rec：1.000000	 spe：0.981343	 pre：0.895833	 fm：0.945055;
第91 个acc：96.141479	 rec：0.918367	 spe：0.969466	 pre：0.849057	 fm：0.882353;
第92 个acc：97.427653	 rec：0.906977	 spe：0.985075	 pre：0.906977	 fm：0.906977;
第93 个acc：98.713826	 rec：0.950000	 spe：0.989691	 pre：0.863636	 fm：0.904762;
第94 个acc：98.713826	 rec：0.941176	 spe：0.989796	 pre：0.842105	 fm：0.888889;
第95 个acc：97.427653	 rec：0.906977	 spe：0.985075	 pre：0.906977	 fm：0.906977;
第96 个acc：96.141479	 rec：0.882353	 spe：0.976923	 pre：0.882353	 fm：0.882353;
第97 个acc：96.141479	 rec：0.882353	 spe：0.976923	 pre：0.882353	 fm：0.882353;
第98 个acc：96.141479	 rec：0.905660	 spe：0.972868	 pre：0.872727	 fm：0.888889;
第99 个acc：97.106109	 rec：0.882353	 spe：0.988462	 pre：0.937500	 fm：0.909091;
第100 个acc：94.212219	 rec：0.844828	 spe：0.964427	 pre：0.844828	 fm：0.844828;
第101 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第102 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第103 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第104 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第105 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第106 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第107 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第108 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第109 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第110 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第111 个acc：95.498392	 rec：0.869565	 spe：0.969811	 pre：0.833333	 fm：0.851064;
第112 个acc：93.569132	 rec：0.858696	 spe：0.968037	 pre：0.918605	 fm：0.887640;
第113 个acc：92.926045	 rec：0.838710	 spe：0.967890	 pre：0.917647	 fm：0.876404;
第114 个acc：93.569132	 rec：0.868132	 spe：0.963636	 pre：0.908046	 fm：0.887640;
第115 个acc：96.463023	 rec：0.523810	 spe：0.996552	 pre：0.916667	 fm：0.666667;
第116 个acc：98.070740	 rec：0.600000	 spe：0.993355	 pre：0.750000	 fm：0.666667;
第117 个acc：90.032154	 rec：0.827338	 spe：0.959302	 pre：0.942623	 fm：0.881226;
第118 个acc：90.032154	 rec：0.827338	 spe：0.959302	 pre：0.942623	 fm：0.881226;
第119 个acc：90.032154	 rec：0.827338	 spe：0.959302	 pre：0.942623	 fm：0.881226;
第120 个acc：99.356913	 rec：0.962963	 spe：0.996479	 pre：0.962963	 fm：0.962963;
第121 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第122 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第123 个acc：95.819936	 rec：1.000000	 spe：0.071429	 pre：0.958065	 fm：0.978583;
第124 个acc：97.427653	 rec：0.583333	 spe：0.989967	 pre：0.700000	 fm：0.636364;
第125 个acc：97.427653	 rec：0.583333	 spe：0.989967	 pre：0.700000	 fm：0.636364;
第126 个acc：97.427653	 rec：0.583333	 spe：0.989967	 pre：0.700000	 fm：0.636364;
第127 个acc：97.427653	 rec：0.583333	 spe：0.989967	 pre：0.700000	 fm：0.636364;
第128 个acc：95.176849	 rec：0.860000	 spe：0.969349	 pre：0.843137	 fm：0.851485;
第129 个acc：97.427653	 rec：0.935484	 spe：0.983936	 pre：0.935484	 fm：0.935484;
